a_star,radius_rg,zero_torque_flux,stressed_flux_delta_eta_0p02
-0.5,24.10355304744303,2.5646877486121076e-07,3.1840176786496283e-07
-0.5,24.294544221592922,2.5229316085516295e-07,3.124639345061173e-07
-0.5,24.487048767175263,2.4816870148022107e-07,3.0662808350160997e-07
-0.5,24.681078675807534,2.4409536361305305e-07,3.0089268927349625e-07
-0.5,24.87664603412601,2.4007308686714943e-07,2.952562438383091e-07
-0.5,25.073763024538884,2.3610178485368683e-07,2.897172566784235e-07
-0.5,25.272441925984932,2.3218134640186278e-07,2.8427425461761277e-07
-0.5,25.47269511469856,2.283116367397182e-07,2.7892578170029753e-07
-0.5,25.674535064980674,2.2449249863634454e-07,2.7367039907393513e-07
-0.5,25.87797434997576,2.2072375350650576e-07,2.685066848741729e-07
-0.5,26.08302564245509,2.170052024785214e-07,2.634332341122606e-07
-0.5,26.289701715606157,2.1333662742646594e-07,2.5844865856447106e-07
-0.5,26.498015443828326,2.0971779196745462e-07,2.5355158666303984e-07
-0.5,26.707979803534844,2.061484424250147e-07,2.487406633884094e-07
-0.5,26.91960787396116,2.0262830875944605e-07,2.4401455016250837e-07
-0.5,27.13291283797962,1.9915710546593885e-07,2.393719247427039e-07
